Date,Team_home,FGA_home,FGM_home,FG%_home,3PA_home,3PM_home,3P%_home,FTA_home,FTM_home,FT%_home,OREB_home,DREB_home,REB_home,AST_home,TO_home,STL_home,BLK_home,PF_home,Points_home,Team_away,FGA_away,FGM_away,FG%_away,3PA_away,3PM_away,3P%_away,FTA_away,FTM_away,FT%_away,OREB_away,DREB_away,REB_away,AST_away,TO_away,STL_away,BLK_away,PF_away,Points_away,Point_diff
2024-11-08,SAC,78,37,0.47435897435897434,26,3,0.11538461538461539,24,21,0.875,5,30,35,19,6,3,13,19,98,LAC,81,36,0.4444444444444444,30,14,0.4666666666666667,23,21,0.9130434782608695,12,36,48,20,7,2,18,21,107,-9
2024-11-08,ORL,86,45,0.5232558139534884,32,8,0.25,21,17,0.8095238095238095,11,32,43,28,9,8,13,14,115,NOP,84,32,0.38095238095238093,31,10,0.3225806451612903,17,14,0.8235294117647058,6,25,31,18,10,1,15,19,88,27
2024-11-08,OKC,90,46,0.5111111111111111,37,14,0.3783783783783784,23,20,0.8695652173913043,7,34,41,24,9,8,10,23,126,HOU,90,39,0.43333333333333335,30,11,0.36666666666666664,26,18,0.6923076923076923,14,34,48,19,7,3,17,18,107,19
2024-11-08,NYK,91,43,0.4725274725274725,46,14,0.30434782608695654,19,16,0.8421052631578947,14,34,48,35,7,3,7,20,116,MIL,83,36,0.43373493975903615,30,7,0.23333333333333334,23,15,0.6521739130434783,11,30,41,20,1,5,12,16,94,22
2024-11-08,MIN,97,47,0.4845360824742268,50,22,0.44,14,11,0.7857142857142857,10,39,49,32,9,7,17,21,127,POR,91,39,0.42857142857142855,25,6,0.24,24,18,0.75,12,25,37,13,11,7,16,17,102,25
2024-11-08,MEM,97,46,0.4742268041237113,43,14,0.32558139534883723,25,22,0.88,13,37,50,30,10,10,17,19,128,WAS,93,38,0.40860215053763443,35,9,0.2571428571428571,23,19,0.8260869565217391,11,30,41,27,14,8,18,27,104,24
2024-11-08,LAL,85,44,0.5176470588235295,35,16,0.45714285714285713,14,12,0.8571428571428571,5,40,45,28,1,13,11,17,116,PHI,96,39,0.40625,39,13,0.3333333333333333,23,15,0.6521739130434783,13,31,44,28,6,4,5,14,106,10
2024-11-08,DET,86,44,0.5116279069767442,33,13,0.3939393939393939,31,21,0.6774193548387096,11,34,45,27,7,8,20,18,122,ATL,97,44,0.4536082474226804,36,15,0.4166666666666667,23,18,0.782608695652174,15,29,44,30,12,7,17,21,121,1
2024-11-08,DEN,81,50,0.6172839506172839,35,18,0.5142857142857142,19,17,0.8947368421052632,6,33,39,37,5,5,17,13,135,MIA,94,46,0.48936170212765956,43,20,0.46511627906976744,13,10,0.7692307692307693,9,24,33,33,11,1,11,19,122,13
2024-11-08,DAL,80,41,0.5125,33,11,0.3333333333333333,22,20,0.9090909090909091,8,31,39,18,5,1,11,22,113,PHX,86,43,0.5,39,15,0.38461538461538464,18,13,0.7222222222222222,11,26,37,26,6,2,8,18,114,-1
2024-11-08,CLE,85,46,0.5411764705882353,42,20,0.47619047619047616,28,24,0.8571428571428571,9,34,43,33,7,7,19,12,136,GSW,98,47,0.47959183673469385,42,13,0.30952380952380953,14,10,0.7142857142857143,11,29,40,32,14,4,17,24,117,19
2024-11-08,CHA,90,38,0.4222222222222222,50,17,0.34,12,10,0.8333333333333334,13,43,56,23,6,7,14,16,103,IND,83,33,0.39759036144578314,29,9,0.3103448275862069,14,8,0.5714285714285714,7,30,37,24,10,4,12,16,83,20
2024-11-08,BOS,90,39,0.43333333333333335,53,14,0.2641509433962264,19,16,0.8421052631578947,4,35,39,23,7,9,13,15,108,BKN,100,41,0.41,38,10,0.2631578947368421,15,12,0.8,12,39,51,24,6,3,12,22,104,4
2024-11-07,SAS,82,44,0.5365853658536586,39,16,0.41025641025641024,18,14,0.7777777777777778,12,33,45,35,9,4,15,15,118,POR,86,41,0.47674418604651164,32,9,0.28125,22,14,0.6363636363636364,14,27,41,23,7,3,14,14,105,13
2024-11-07,MIL,84,43,0.5119047619047619,35,15,0.42857142857142855,30,22,0.7333333333333333,11,30,41,20,13,3,10,21,123,UTA,77,33,0.42857142857142855,41,17,0.4146341463414634,18,17,0.9444444444444444,8,31,39,24,5,5,21,19,100,23
